Temp: 3.76, Best Cost: 2976689.2602, Round Elapsed time: 5.51 s, probability_avg : 0.10
Temp: 3.48, Best Cost: 2968475.0948, Round Elapsed time: 5.16 s, probability_avg : 0.11
Temp: 3.21, Best Cost: 2961259.8156, Round Elapsed time: 5.05 s, probability_avg : 0.10
Temp: 2.97, Best Cost: 2953862.1252, Round Elapsed time: 5.11 s, probability_avg : 0.10
Temp: 2.74, Best Cost: 2952101.8314, Round Elapsed time: 5.07 s, probability_avg : 0.10
Temp: 2.54, Best Cost: 2947400.2872, Round Elapsed time: 2.70 s, probability_avg : 0.10
Temp: 2.34, Best Cost: 2935211.9238, Round Elapsed time: 5.07 s, probability_avg : 0.11
Temp: 2.17, Best Cost: 2926031.6574, Round Elapsed time: 4.91 s, probability_avg : 0.11
Temp: 2.00, Best Cost: 2913985.7799, Round Elapsed time: 5.02 s, probability_avg : 0.11
Temp: 1.85, Best Cost: 2899642.0323, Round Elapsed time: 5.07 s, probability_avg : 0.11
Temp: 1.71, Best Cost: 2890599.2349, Round Elapsed time: 5.04 s, probability_avg : 0.11
Temp: 1.58, Best Cost: 2887081.4331, Round Elapsed time: 5.06 s, probability_avg : 0.11
Temp: 1.46, Best Cost: 2878040.5845, Round Elapsed time: 2.73 s, probability_avg : 0.11
Temp: 1.35, Best Cost: 2868598.9101, Round Elapsed time: 5.04 s, probability_avg : 0.11
Temp: 1.25, Best Cost: 2859154.8228, Round Elapsed time: 5.18 s, probability_avg : 0.10
Temp: 1.15, Best Cost: 2852855.7522, Round Elapsed time: 6.07 s, probability_avg : 0.11
Temp: 1.07, Best Cost: 2849995.7632, Round Elapsed time: 5.17 s, probability_avg : 0.10
Temp: 0.98, Best Cost: 2839734.4690, Round Elapsed time: 5.14 s, probability_avg : 0.10
Temp: 0.91, Best Cost: 2832018.4035, Round Elapsed time: 2.69 s, probability_avg : 0.10
Temp: 0.84, Best Cost: 2825436.3995, Round Elapsed time: 5.22 s, probability_avg : 0.09
Temp: 0.78, Best Cost: 2819485.0404, Round Elapsed time: 5.08 s, probability_avg : 0.10
Temp: 0.72, Best Cost: 2818440.2680, Round Elapsed time: 5.10 s, probability_avg : 0.10
Temp: 0.66, Best Cost: 2814543.0945, Round Elapsed time: 5.12 s, probability_avg : 0.09
Temp: 0.61, Best Cost: 2798713.4697, Round Elapsed time: 5.13 s, probability_avg : 0.10
Temp: 0.57, Best Cost: 2792343.1932, Round Elapsed time: 2.80 s, probability_avg : 0.09
Temp: 0.52, Best Cost: 2789356.9324, Round Elapsed time: 5.20 s, probability_avg : 0.10
Temp: 0.48, Best Cost: 2780937.5232, Round Elapsed time: 5.25 s, probability_avg : 0.11
